Name	Ability	Font	Skill	Weapon	Domains	Alt Domains	Spells	Edicts	Anathema	Alignments	Avatar
Tlehar	(Intelligence|Charisma)	(heal)	Crafting	morningstar	(Cities|Healing|Passion|Sun)	(Change|Creation|Vigil|Zeal)	1:Soothe, 3:Enthrall, 5:Dreaming Potential	Give yourself fully to everything you attmept, always maintain hope that tomorrow will be a better day, treasure every gift you are given by those who matter to you	Lose your motivation to your regrets, spread despair, treat a loved one poorly	LG, NG, CG	None
Valmallos	(Intelligence|Wisdom)	(harm|heal)	Arcana	kukri	(Fate|Glyph|Knowledge|Magic)	None	1:Mage Armor, 6:Feeblemind, 7:Contingency	Complicate magical techniques, refine arcane fundamentals, teach arcane apprentices to treat magic responsibly	Grant magic to those who cannot use it responsibly, cause a magical disaster, ignore magical misconduct	LG, LN	None
Ydajisk	(Intelligence|Charisma)	(harm|heal)	Society	(jaws|greatclub)	(Change|Glyph|Knowledge|Trickery)	None	1:Message Rune, 2:Blistering Invective, 4:Glibness	Create using words, chronicle languages and prevent them from dying, help language evolve	Ban or discourage a language, explain a secret language or slang to outsiders, destroy literary works	CG, CN, CE	None
Azathoth	(Constitution|Charisma)	(harm)	Performance	warhammer	(Decay|Destruction|Nightmares|Void)	None	1:Ill Omen, 5:Synaptic Pulse, 9:Unfathomable Song	Gather a court of devotees, create discordant piping or babbling	None	CN, CE	None
Hastur	(Intelligence|Charisma)	(harm)	Deception	rapier	(Glyph|Secrecy|Void|Wealth)	None	1:Illusory Disguise, 4:Confusion, 5:Hallucination	Spread Hastur's Yellow Sign, hide the true nature of your worship, promulgate the play The King in Yellow	None	NE, CE	None
Nhimbaloth	(Constitution|Wisdom)	(harm)	Nature	flail	(Decay|Nature|Undeath|Void)	None	1:Grim Tendrils, 2:Entangle, 5:Cloudkill	Create undead, feast upon carnivores that have recently feasted upon others	None	CE	None
Nyarlathotep	(Dexterity|Intelligence)	(harm)	Arcana	staff	(Knowledge|Magic|Nightmares|Trickery)	None	1:Message Rune, 2:Humanoid Form, 3:Enthrall, 4:Suggestion, 5:Summon Entity, 6:Mislead, 7:Project Image, 8:Dream Council, 9:Weird	Sow discord among allies, misuse poositions of authority by steering events toward apocolyptic ends	None	NE, CE	None
Xhamen-Dor	(Constitution|Wisdom)	(harm)	Nature	spear	(Change|Decay|Dreams|Nature)	None	1:Summon Plant or Fungus, 3 Wall of Thorns, 7:Warp Mind	Spread fungal growths, subtly infect others with knowledge of Xhamen-Dor	None	NE, CE	None
Yog-Sothoth	(Intelligence|Charisma)	(harm)	Occultism	dagger	(Knowledge|Time|Travel|Void)	None	1:Fleet Step, 5:Black Tentacles, 7:Time Beacon	Gather knowledge of gates through space and time, curse or mutate unborn children	None	CN, CE	None
Dwarven Pantheon	(Constitution|Wisdom)	(heal)	Diplomacy	warhammer	(Creation|Family|Protection|Wealth)	(Duty|Glyph)	1:Ant Haul, 4:Creation, 7:Retrocognition	Develop skills useful to your community (especially crafting, mining, and trading), honor your ancestors through traditions and rituals	Dishonor your family, willingly break a contract or oath, irreparably damage an ancestral relic	LG, NG, LN, N	None
Elven Panthon	(Dexterity|Intelligence)	(heal)	Survival	(longbow|shortbow)	(Creation|Magic|Moon|Nature)	None	1:Shillelagh, 2:Shape Wood, 5:Tree Stride	Learn and appreciate traditional elven arts, crafts, and magic, explore the worlds outside and within	Irreparably damage the natural environment (such as by overhunting or strip mining), have an unhealthy obsession or attachment	NG, CG, CN	None
Pillars of Knowledge	(Intellignce|Wisdom)	(harm|heal)	Crafting	light hammer	(Creation|Knowledge|Secrecy|Truth)	(Glyph|Perfection|Time)	1:Message Rune, 3:Hypercognition, 7:Retrocognition	Seek new knowledge, use your knowledge and skill to improve the world around you, protect knowledge from becoming lost	Choose to use old knowledge or tools after they have been improved upon, destroy knowledge, refuse to answer a query for which you know the answer	LN, N, CN	None
The Godclaw	(Strength|Intelligence)	(harm|heal)	Society	morningstar	(Perfection|Protection|Tyranny|Zeal)	(Duty)	1:Phantom Pain, 4:Fire Shield, 6:Dominate	Eliminate chaos at its root, be an exemplar of order (worthy of not one, but five), seek the universal laws that transcend individual faiths	Rest when there is lawlessness to fight, believe you know or understand more than the pantheon	LG, LN, LE	None
The Path of the Heavens	(Intelligence|Wisdom)	(heal)	Survival	starknife	(Moon|Star|Sun|Travel)	(Toil|Void)	1:Longstrider, 2:Flaming Sphere, 3:Gravity Well	Guide travelers, observe the movements of the moon, planets, and stars	Mislead a traveler, permanently blind an enemy	NG, CG, CN	None
The Prismatic Ray	(Wisdom|Charisma)	(heal)	Diplomacy	shortsword	(Creation|Moon|Protection|Sun)	(Family|Healing|Travel)	1:Sleep, 3:Fireball, 4:Creation	Create works that inspire good acts, defend those who cannot defend themselves, pursue evil	Allow evil to spread, destroy that which brings joy to others, fail to offer evil a chance to surrender	LG, NG, CG	None
Wards of the Pharaoh	(Constitution|Intelligence)	(harm|heal)	Medicine	staff	(Family|Knowledge|Magic|Travel)	(Glyph|Healing)	1:Soothe, 4:Resilient Sphere, 9:Disjunction	Use magic to defend yourself and your allies, maintain magical wards, seec greater magical knowledge	Destroy wards that are actively protecting innocents, refuse to use your magic to help those in need who ask you	NG, CG, LN, N	None
Ardad Lili	(Intelligence|Charisma)	(harm)	Diplomacy	dagger	(Creation|Darkness|Passion|Wyrmkin)	None	1:Charm, 3:Enthrall, 4:Suggesion	Manipulate others with false promises, aid women who have been unfairly maligned	Give someone more than you receive from them, allow yourself to be swayed by lust	LN, LE, NE	None
Doloras	(Constitution|Charisma)	(harm)	Medicine	kukri	(Creation|Pain|Repose|Sorrow)	None	1:Phantom Pain, 3:Earthbind, 5:Synaptic Pulse	Push the boundaries of science and suffering, torture other creatures	Show or act on emotion, allow a plea for mercy to sway you	LE, NE	None
Eiseth	(Stength|Dexterity)	(harm)	Intimidation	longbow	(Ambition|Destruction|Might|ZeaL)	None	1:True Strike, 3:Fireball, 4:Dimensional Door	Avenge all insults, claim what you desire and deserve, humiliate your foes in ironic fashion	Allow a slight to go unanswered, show humility or fear	LE	None
Mahathallah	(Wisdom|Charisma)	(harm)	Deception	bola	(Fate|Trickery|Truth|Undeath)	None	1:Illusory Disguise, 2:Misdirection, 5:Illusory Scene	Become an arbiter of reality, reject conventional wisdom as falsehood, capitalize on the ignorance of others	Become too invested in mortal affairs	LN, LE, NE	None
Alglenweis	(Strength|Wisdom)	(heal)	Nature	war flail	(Cold|Creation|Might|Soul)	None	1:Agitate, 4:Creation, 5:Cone of Cold	Strive to perfect an art or craft, protect the monuments of your people, stir others into actions	Destroy an artistic creation without providing something in its place, refuse to act if called upon	NG, CG, CN	None
Stag Mother of the Forest of Stone	(Constitution|Intelligence)	(heal)	Medicine	ranseur	(Family|Healing|Nature|Pain)	None	1:Phantom Pain, 2:Animal Form{BULL, F:Appears as stag}, 6:Flesh to Stone	Provide shelter and succor for women and children in need, act as a responsible steward of your environment	Harm a pregnant mother or innocent child, including animals	LG, NG, CG, LN, N, CN, LE, NE	None
Sturovenen	(Dexterity|Charisma)	(heal)	Diplomacy	main-gauche	(Air|Confidence|Passion|Sun)	None	1:Charm, 5:Cloak of Colors, 6:Dragon Form	Act with conviction and confidence, be a passionate and responsible leader to your people or companions	Command a subordinate to perform a task you're not willing to perform yourself	LG, NG, LN	None
Daikitsu	(Dexterity|Intelligence)	(heal)	Crafting	flail	(Change|Creation|Family|Nature)	None	1:Pest Form, 2:Humanoid Form, 5:Illusory Scene	Ensure the health of crops and vegetation, perfect a craft or trade, leave offerings for foxes, celebrate the turning of the seasons	Mistreat your tools, pass a beggar without giving alms, discriminate against sex workers or the lower class	NG, LN, N, CN	None
Fumeiyoshi	(Constitution|Charisma)	(harm)	Intimidation	naginata	(Ambition|Destruction|Earth|Undeath)	None	1:Grim Tendrils, 2:Feast of Ashes, 7:Possession	Punish those who have good fortune they don't deserve, devour the pleasures of the living, encourage resentment, make graveyards supernaturally unsafe	Pass by food without stealing a bite, allow honor or tradition to prevent you from taking what you want	LE, NE, CE	None
General Susumu	(Strength|Dexterity)	(harm)	Athletics	longbow	(Confidence|Destruction|Might|Zeal)	None	1:True Strike, 2:Phantom Steed, 3:Wall of Wind	Seek glory in battle, loudly proclaim your victories, protect your possessions and strongholds	Cower from fights, refuse a challenge from an equal, mistreat your weapons, abuse your mount	LN, LE	None
Hei Feng	(Constitution|Charisma)	(harm|heal)	Performance	nine-ring sword	(Air|Indulgence|Lightning|Water)	(Destruction|Travel)	1:Gust of Wind, 4:Hydraulic Torrent, 6:Chain Lightning	Follow your passions, make token attempts to apologize to those you have wronged, respect the power of the sea and sky, encourage flashy entertainment	Fake friendship with those you despise, disrespect Hei Feng or Hei Feng's estranged wife Lady Jingxi, ignore an affront to you or Hei Feng	CG, CN, CE	Speed 70 feet, Air Walk, ignore difficult terrain and greater difficult terrain; Melee [1] drunken sword (forceful, reach 15 feet), Damage 4d6+6 slashing plus 1d6 electricity splash damage; Ranged [1] storm surge (range 120 feet, air, water), Damage 4d6+3 bludgeoning plus 1d6 electricity splash damage. The caster is immune to this splash damage
Kofusachi	(Dexterity|Constitution)	(heal)	Performance	staff	(Luck|Passion|Travel|Wealth)	None	1:Soothe, 2:Hideous Laughter, 8:Uncontrollable Dance	Support local businesses, bring prosperity to your community, sample life's pleasures	Become tied to one location, judge another based on sexual desires or gender roles	NG, CG	None
Lady Jingxi	(Intelligence|Wisdom)	(heal)	Performance	fighting fan	(Creation|Glyph|Knowledge|Repose)	None	1:Sleep, 2:Mirror Image, 5:Chromatic Wall	Create art with words, master the written language, display the soft beauty of natural colors	Destroy a natural plum tree, drink excessive amounts of alcohol, act rude or boorish	NG, N	None
Lady Nanbyo	(Strength|Constitution)	(harm)	Nature	warhammer	(Destruction|Fire|Plague|Water)	None	1:Burning Hands, 5:Control Water, 6:Dragon Form	Revel in destruction, make natural disasters worse, allow natural disasters take their due	Allow a natural disaster to completely destroy a community or leave a group with no survivors	NE, CE	None
Lao Shu Po	(Dexterity|Intelligence)	(harm)	Thievery	dagger	(Darkness|Luck|Swarm|Trickery)	None	1:Summon Animal{RODENTS}, 2:Knock, 3:Nondetection	Work quietly toward your goals in the shadoes, steal what you need, keep an ear among the ignored and downtrodden	Work honestly for something you could steal instead, risk too much for another creature	N, LE, NE, CE	None
Nalinivati	(Wisdom|Charisma)	(harm|heal)	Arcana	(jaws|urumi)	(Glyph|Magic|Passion|Wyrmkin)	None	1:Charm, 2:Invisibility, 3:Lightning Bolt, 4:Reflective Scales, 5:Subconscious Suggestion, 6:Mislead, 7:Contingency, 8:Scintillating Pattern, 9:Storm of Vengeance	Seek out magic and use it, use poison, heal poisons, bear or adopt children, raise snakes	Kill a harmless snake or swan, spurn friends due to jealousy or romantic competition, betray your offspring, separate lovers	NG, LN, N, NE	None
Qi Zhong	(Intelligence|Wisdom)	(heal)	Medicine	heavy mace	(Healing|Knowledge|Magic|Protection)	None	1:Soothe, 2:False Life, 4:Resilient Sphere	Teach knowledge to others, relieve suffering despite personal difficulty, heal sicknes and injuries	Deal lethal damage to another creature (unless as part of a necessary medical treatment)	LG, NG, CG, N	None
Shizuru	(Strength|Wisdom)	(heal)	Society	katana	(Duty|Perfection|Sun|Vigil)	(Sorrow)	1:True Strike, 4:Reflective Scales, 5:Summon Dragon	Practice with a weapon every day, honor your ancestors, protect nature and society from corruption and destruction	Abandon a companion in need, dishonor yourself, parlay with truce breakers, separate lovers	LG, NG, LN	Speed 70 feet, Air Walk, ignore difficult terrain and greater difficult terrain; Melee [1] katana (deadly 3d8, two-had d10,, reach 15 feet, versatile P), Damage 6d6+6 slashing; Ranged [1] sunbolt arrow (range 120 feet), Damage 6d6+3 fire
Sun Wukong	(Strength|Charisma)	(harm|heal)	Acrobatics	staff	(Indulgence|Might|Nature|Trickery)	None	1:Jump, 3:Mad Monkeys, 4:Creation	Live life freely, drink, play pranks	Refuse a reasonable bet or duel, let social pressure change your behavior	CG, CN, CE	None
Tsukiyo	(Constitution|Intelligence)	(heal)	Occultism	spear	(Delirium|Moon|Repose|Soul)	(Change)	1:Soothe, 2:Mirror Image, 5:Hallucination	Provide aid and counsel without judgment to those who seek help, help the dead find their rest, amplify or help speak for the powerless and demonized	Harm another out of envy, force aid on those who do not want it, inflict harmful mental effects on others as punishment	LG, NG, CG, LN, N	Speed 70 feet, Air Walk, ignore difficult terrain and greater difficult terrain; Melee [1] longspear (reach 20 feet),Damage 6d10+6 piercing; Ranged [1] moonbeam (nonlethal, range 120 feet, silver), Damage 6d6+3 mental
Yaezhing	(Dexterity|Intelligence)	(harm)	Stealth	shuriken	(Death|Duty|Pain|Trickery)	None	1:True Strike, 2:Invisibility, 6:Mislead	Commit assassinations for hire, strike unseen, carry out punishment for convicted criminals	Show mercy t a target, take credit for your assassination, refuse to punish a lawfully convicted criminal	LE, NE	None
Yamatsumi	(Strength|Wisdom)	(harm|heal)	Athletics	greatclub	(Cold|Earth|Fire|Might)	None	1:Shockwave, 3:Shifting Sand, 7:Volcanic Eruption	Strive to be self sufficient, respect nature, test yourself against the elements	Become reliant on civilization, destroy something without creating or growing something in its place	NG, LN, N, CN	None
Arundhat	(Intelligence|Wisdom)	(heal)	Nature	staff	(Healing|Magic|Nature|Protection)	None	1:Shillelagh, 3:Ghostly Weapon, 4:Speak with Plants	Practice herbalism, tend to sacred flowers, offer appropriate flowers to other divinities	Dispose of waste near flowers, harvest flowers without ofering the proper prayers, dispose of withered flowers improperly	LG, NG, CG, N	None
Ashukharma	(Constitution|Intelligence)	(harm|heal)	Crafting	greatsword	(Earth|Might|Protection|Repose)	None	1:Shattering Gem, 4:Shape Stone, 5:Wall of Stone	Hinder travel, create and enforce physical and emotional boundaries, build defensive earthworks	Destroy a natural barrier, pursue a personal relationship after being refused, betray a lover	CG, N, CN	None
Chamidu	(Strength|Constitution)	(harm|heal)	Medicine	spear	(Healing|Lightning|Nature|Nightmares)	None	1:Summon Animal, 3:Lightning Bolt, 5:Moon Frenzy	Destroy aberrant creatures and fiends, live free of social or materialistic chains, cause destruction when angered	Harm a child, pollute the wilds, refuse to treat an illness	NG, N, NE	None
Dhalavei	(Strength|Charisma)	(harm|heal)	Deception	temple sword	(Destruction|Knowledge|Secrecy|Trickery)	None	1:Fear, 4:Glibness, 6:Mislead	Infiltrate righteous organizations and governments, destroy trust, perform human sacrifices	Betray a fellow servant of Dhalavei, harm those under Dhalavei's protection	LE, NE	None
Diomazul	(Strength|Dexterity)	(harm|heal)	Athletics	scimitar	(Destruction|Earth|Water|Zeal)	None	1:Phantom Pain, 2:Slough Skin, 4:Weapon Storm	Remain Celibate and detached from worldly pleasures, meditate, utterly destroy your enemies, erase all traces of defeated foes	Provoke a fight, give mercy to anyone who provokes a fight with you	LN, LE	None
Gruhastha	(Intelligence|Wisdom)	(heal)	Society	shortbow	(Glyph|Knowledge|Perfection|Truth)	(Nature|Travel)	1:Share Lore, 2:Comprehend Language, 3:Hypercognition	Work toward collective transcendence, expose and root out malicious lies, challenge oppression through education, protect knowledge, seek truth	deny a sincere student education, destroy knowledge, disrespect the traditions of those around you, willfully spread ignorance or wrong information	LG, NG	Speed 50 feet, fly Speed 70 feet; Melee [1] fist (agile, finesse, nonlethal, reach 15 feet), Damage 6d6+6 bludgeoning; Ranged [1] arrow of enlightenment (deadly 3d10, range increment 120 feet), Damage 6d6+3 piercing
Lahkgya	(Dexterity|Intelligence)	(harm)	Thievery	(jaws|battleaxe)	(Indulgence|Nature|Swarm|Trickery)	None	1:Fleet Step, 3:Mad Monkeys, 4:Confusion	Steal luxuries for yourself, destroy property for fun, demand bribes to spare creatures from your torments	Work honestly for something you could steal instead, kill a monkey	CE	None
Likha	(Intelligence|Charisma)	(harm|heal)	Performance	hatchet	(Creation|Knowledge|Passion|Sorrow)	None	1:Illusory Disguise, 3:Enthrall, 5:Illusory Scene	Tell history to others, sponsor or perform in plays and recitals, adapt ancient works into modern language	Begin a performance or tale without first inviting the gods to watch, act out a death on stage	NG, LN, N, CN	None
Matravash	(Constitution|Wisdom)	(heal)	Survival	whip	(Cities|Nature|Travel|Water)	None	1:Share Lore, 3:Slow, 4:Speak with Plants	Aid the persecuted, accommodate and facilitate others, practice contemplation and restraint	Destroy lotus fields, interfere with the flow of the Matra river, pollute clean water, reveal the location of nonevil fugitives	LG, LN, N	None
Ragdya	(Dexterity|Wisdom)	(heal)	Acrobatics	mace	(Air|Confidence|Might|Perfection)	None	1:Shockwave, 3:Mad Monkeys, 4:Gaseous Form	Seek enlightenment through worldly experience, create humor in life, use harmless pranks to teach others	Make a joke out of someone's suffering, own a slave, discriminate based on social status	NG, LN, N, CN	None
Raumya	(Strength|Charisma)	(harm|heal)	Performance	trident	(Confidence|Knowledge|Might|Wealth)	None	1:True Strike, 2:Invisibility, 4:Weapon Storm	Improve yourself with music and literature, take what you want, seek power above others	Abuse a loyal subject, harm or kill a non-combatant	NB, N, LE, NE	None
Atheism	None	None	None	None	None	None	None	None	None	All	None
Green Faith	(Constitution|Wisdom)	None	Nature	None	None	None	None	Guide civilization to grow in harmony with nature, live sustainably and according to natural cycles, preserve areas of natural wilderness, protect the balance of nature, protect endangered species	Cause damage to natural settings, kill animals for reasons other than self-defense or sustenance, remove an element or indigenous species from a natural area, encourage imbalance in nature, allow abuse of natural resources	NB, LN, N, CN, NE	None
Prophecies of Kalistrade	(Intelligence|Charisma)	None	Diplomacy	None	None	None	None	Accumulate personal wealth, seek enlightenment through purity of self, foster and aid mercantile pursuits, welcome newcomers regardless of gender or ancestry	Spend money frivolously, offer money to those who don't deserve wealth, overindulge in physical pleasures, food, or drink, give charity to others	LG, LN, LE	None
Whispering Way	None	None	None	None	None	None	None	Seek methods to become undead (a lich if possible), oppose those who seek to destroy undead, protect necromantic secrets, serve the Whispering Tyrant	Destroy necromantic texts (unless they reveal secrets of the Whispering Way), teach others of the Whispering Way other than by whispering, use positive energy to harm undead	LE, NE, CE	None
Esoteric Order of the Palatine Eye	(Intelligence|Wisdom)	None	Occultism	None	None	None	None	Seek out wisdom of ancient cultures (particularly Ancient Osirion), provide succor to scholars, honor the rites of the order	Reveal the order's secrets to those outside the organization (or even to insufficiently ranked members), destroy rare or ancient lore	LG, LN, N, LE	None
God Calling	None	None	None	None	None	None	None	Protect your clan and your people, educate the clan's children's in the traditions and histories of the clan's god, and carefully record the name and image of each new god when they first appear so that they are not forgotten and can continue to watch over the people	Make no deals or bargains with demons	All	None
Laws of Mortality	(Constitution|Intelligence)	None	Medicine	None	None	None	None	Challenge religious power and the spread of religion, expopse and eradicate hidden worship, provide a peaceful and autonomous society in which the people are cared for through social infrastructure	Worship or swear an oath by a deity or religion, solicit or receive divine or religious aid, take a side in conflicts between religions	LG, NG, LN, N, LE, NE	None
Sangpotshi	(Intelligence|Wisdom)	None	Religion	None	None	None	None	Live selfishly, heed the wisdom of the learned, the wise, and those in stations of authority	Needlessly break significant traditions, actively interfere with the perfection efforts of another soul or allow others to do so	LG, NG, LN, N, LE	None
Shoanti Animism	None	None	None	None	None	None	None	None	None	All	None
